generation,best_fitness,best_size,best_depth
0,3.5704998835958794,6,3
1,2.9223833330739177,10,4
2,2.909787238036382,12,7
3,2.6588251961551435,9,4
4,2.5677257879744344,19,5
5,2.5677257879744344,19,5
6,2.4500096973137637,19,4
7,2.3233621163398066,19,4
8,2.3233621163398066,19,4
9,2.320846219845063,19,4
10,2.1033001030020735,20,8
11,2.1033001030020735,20,8
12,2.04793430783725,28,7
13,2.041818784574444,28,8
14,1.9801891042581703,35,8
15,1.839686771001321,23,8
16,1.839686771001321,23,8
17,1.7905623897707945,35,8
18,1.6347076666135774,24,8
19,1.6347076666135774,24,8
20,1.6280462737398487,24,8
21,1.6280462737398487,24,8
22,1.6280462737398487,24,8
23,1.6280462737398487,24,8
24,1.4594795122001039,39,8
25,1.4594795122001039,39,8
26,1.4594795122001039,39,8
27,1.4161909059880913,39,8
28,1.4161909059880913,39,8
29,1.4161909059880913,39,8
30,1.333817928686233,39,8
31,1.333817928686233,39,8
32,1.322880553952538,40,8
33,1.2595758603121887,39,8
34,1.1354821345499855,68,8
35,1.1354821345499855,68,8
36,1.1354821345499855,68,8
37,1.1331160734897343,70,8
38,1.122851072600728,67,8
39,1.1210051096524527,73,8
40,1.0745514424067297,74,8
41,1.0719046893540936,73,8
42,1.058197372524356,74,8
43,1.0574473996087133,65,8
44,1.0574473996087133,65,8
45,1.0540366881128809,80,8
46,1.0540366881128809,80,8
47,1.045559011004227,68,8
48,1.045559011004227,68,8
49,1.045559011004227,68,8
50,1.0338353514858896,68,8
51,1.0338353514858896,68,8
52,1.0338353514858896,68,8
53,1.0322917664284281,81,8
54,1.0242499908629243,79,8
55,1.0242499908629243,79,8
56,1.0043454469119075,76,8
57,1.0043454469119075,76,8
58,1.0043454469119075,76,8
59,0.9991439896644098,76,8
60,0.9991439896644098,76,8
61,0.9991439896644098,76,8
62,0.9991439896644098,76,8
63,0.9991439896644098,76,8
64,0.9991439896644098,76,8
65,0.9964645642702962,78,8
66,0.9964645642702962,78,8
67,0.9964645642702962,78,8
68,0.9931072298178913,76,8
69,0.9931072298178913,76,8
70,0.9931072298178913,76,8
71,0.9931072298178913,76,8
72,0.9927335920560894,73,8
73,0.9927335920560894,73,8
74,0.9927335920560894,73,8
75,0.8880501311187243,81,8
76,0.8880501311187243,81,8
77,0.6105685042734513,76,8
78,0.6105685042734513,76,8
79,0.6105685042734513,76,8
80,0.5551485558832173,76,8
81,0.5551485558832173,76,8
82,0.5523562488636239,76,8
83,0.5523562488636239,76,8
84,0.5523562488636239,76,8
85,0.4841383319874073,76,8
86,0.4651897927794221,73,8
87,0.4651897927794221,73,8
88,0.4651897927794221,73,8
89,0.4651897927794221,73,8
90,0.45733188549514264,73,8
91,0.4505942145972224,78,8
92,0.4505942145972224,78,8
93,0.4505942145972224,78,8
94,0.4505942145972224,78,8
95,0.4505942145972224,78,8
96,0.4505942145972224,78,8
97,0.4505942145972224,78,8
98,0.4505942145972224,78,8
99,0.4505942145972224,78,8
100,0.4505942145972224,78,8
