generation,best_fitness,best_size,best_depth
0,2.653835053608907,9,3
1,2.653835053608907,9,3
2,2.526044011976327,7,3
3,2.526044011976327,7,3
4,2.526044011976327,7,3
5,2.396901232930742,20,7
6,2.396901232930742,20,7
7,2.390081498043999,22,7
8,2.352895339653724,21,6
9,2.0497822207282392,22,7
10,2.0497822207282392,22,7
11,2.0497822207282392,22,7
12,2.0067959977425307,13,5
13,1.9292401487945054,19,6
14,1.866849097740086,25,7
15,1.8389536867731615,17,7
16,1.719919789618463,22,7
17,1.719919789618463,22,7
18,1.719919789618463,22,7
19,1.719919789618463,22,7
20,1.719919789618463,22,7
21,1.7178576995317443,21,7
22,1.670671727160502,21,6
23,1.670671727160502,21,6
24,1.63299392253459,24,8
25,1.63299392253459,24,8
26,1.63299392253459,24,8
27,1.63299392253459,24,8
28,1.6130247316630546,28,7
29,1.6130247316630546,28,7
30,1.6130247316630546,28,7
31,1.6130247316630546,28,7
32,1.6123126898387246,26,8
33,1.5816278274047613,30,7
34,1.5816278274047613,30,7
35,1.5663507355391373,34,8
36,1.5663507355391373,34,8
37,1.562319519061556,34,8
38,1.562319519061556,34,8
39,1.5387929818028236,34,8
40,1.5387929818028236,34,8
41,1.5387929818028236,34,8
42,1.5387929818028236,34,8
43,1.5387929818028236,34,8
44,1.5387929818028236,34,8
45,1.5387929818028236,34,8
46,1.5185578681732188,39,8
47,1.5185578681732188,39,8
48,1.5185578681732188,39,8
49,1.5185578681732188,39,8
50,1.5185578681732188,39,8
51,1.5185578681732188,39,8
52,1.5185578681732188,39,8
53,1.5185578681732188,39,8
54,1.5185578681732188,39,8
55,1.5185578681732188,39,8
56,1.5185578681732188,39,8
57,1.5185578681732188,39,8
58,1.5185578681732188,39,8
59,1.5185578681732188,39,8
60,1.5185578681732188,39,8
61,1.5185578681732188,39,8
62,1.5185578681732188,39,8
63,1.5185578681732188,39,8
64,1.5185578681732188,39,8
65,1.5185578681732188,39,8
66,1.5185578681732188,39,8
67,1.5185578681732188,39,8
68,1.5185578681732188,39,8
69,1.5185578681732188,39,8
70,1.5053595973051783,34,8
71,1.5053595973051783,34,8
72,1.505258202933172,35,8
73,1.505258202933172,35,8
74,1.505258202933172,35,8
75,1.505258202933172,35,8
76,1.505258202933172,35,8
77,1.505258202933172,35,8
78,1.505258202933172,35,8
79,1.505258202933172,35,8
80,1.505258202933172,35,8
81,1.505258202933172,35,8
82,1.505258202933172,35,8
83,1.505258202933172,35,8
84,1.505258202933172,35,8
85,1.505258202933172,35,8
86,1.505258202933172,35,8
87,1.505258202933172,35,8
88,1.505258202933172,35,8
89,1.505258202933172,35,8
90,1.4979435445221427,41,8
91,1.4979435445221427,41,8
92,1.4979435445221427,41,8
93,1.4622094611970264,36,8
94,1.4565725969227117,41,8
95,1.4512703037680372,38,8
96,1.441160333465834,42,8
97,1.441160333465834,42,8
98,1.441160333465834,42,8
99,1.4301618838472334,33,8
100,1.4301618838472334,33,8
