run,seed,fitness,program_size,program_depth,expression
1,1,1.3348608885232078,52,8,"(((((sin(x) * (sin((x + 4.532992)) - (x - 3.241747))) * cos(sin(((x - 3.241747) + pdiv(4.532992, x))))) - -3.591404) - x) + sin(((((sin((x - 3.241747)) - (x - 3.241747)) * (sin((x + 4.532992)) - (x - 3.241747))) * cos(sin((3.241747 + 4.532992)))) + 3.386935)))"
2,2,1.4301618838472334,33,8,"(((sin((cos((sin(x) + 4.963601)) - cos(pdiv(-0.155049, x)))) - pdiv(4.005856, 4.748798)) - (cos((sin(cos((x + 4.963601))) + 4.963601)) * x)) - (x - (sin(x) + 4.963601)))"
3,3,0.4505942145972224,78,8,"((pdiv(((pdiv(cos(cos(-4.883308)), x) + pdiv(-4.883308, 3.620823)) - (sin(x) * ((-2.456156 + x) - cos((x + -4.000865))))), (x - ((-3.695733 + (sin(-4.883308) * x)) - pdiv((-2.456156 * pdiv(-4.883308, 3.620823)), -4.000865)))) + (pdiv(((pdiv(x, -4.000865) + pdiv(cos(-4.883308), (x * x))) - (sin(x) * ((-2.456156 + x) - sin(-1.754222)))), (x - (((-2.456156 + -4.883308) - cos(-1.754222)) - pdiv((x * -1.156200), -4.883308)))) + 3.620823)) - x)"
